item_id,item_name,item_type,brand_id,unit_volume,description,image_url
1,Blue Moon Belgian White - 6 Pack,Beer,9,2,"A wheat beer brewed with Valencia orange peel for a subtle sweetness and bright, citrus aroma. Blue Moon Belgian White Belgian-Style Wheat Ale is garnished with an orange slice to heighten the citrus aroma and taste.",bluemoonBelWhite6.jpg
2,Blue Moon Belgian White - 12 Pack,Beer,9,4,"A wheat beer brewed with Valencia orange peel for a subtle sweetness and bright, citrus aroma. Blue Moon Belgian White Belgian-Style Wheat Ale is garnished with an orange slice to heighten the citrus aroma and taste.",bluemoonBelWhite12.jpg
3,Blue Moon Light Sky Wheat - 6 Pack,Beer,9,2,Colorado- Witbier- 4.0% ABV. A new light and refreshing wheat beer with great flavor and quality that people expect from Blue Moon. Brewed with with a hint of real pineapple and orange peel for exceptional taste at only 95 calories.,Blue-Moon-Light-Sky-Wheat-Beer.jpg
4,Blue Moon Light Sky Wheat - 12 Pack,Beer,9,4,Colorado- Witbier- 4.0% ABV. A new light and refreshing wheat beer with great flavor and quality that people expect from Blue Moon. Brewed with with a hint of real pineapple and orange peel for exceptional taste at only 95 calories.,Blue-Moon-Light-Sky-Wheat-Beer.jpg
5,Blue Moon Light Sky Wheat - 24 Pack,Beer,9,8,"A new light and refreshing wheat beer from Blue Moon, brewed with real tangerine peel for a lighter, exceptional taste at only 95 calories. Perfectly balanced and crisp, this beer will bring new drinkers to the brand, as well as unlock new consumption occasions and high velocity in existing occasions.",Blue Moon Light Sky Wheat 12 Pk.png
6,Bud Light - 6 Pack,Beer,1,2,"Missouri- Light Lager- Introduced in 1982, Bud Light is the world's best-selling beer. It is a light-bodied brew with a fresh, clean and subtle hop aroma, delicate malt sweetness and crisp finish for ultimate refreshment.",budlightsix.jpg
7,Bud Light - 12 Pack,Beer,1,4,"Missouri- Light Lager- Introduced in 1982, Bud Light is the world's best-selling beer. It is a light-bodied brew with a fresh, clean and subtle hop aroma, delicate malt sweetness and crisp finish for ultimate refreshment.",budlight12.jpg
8,Bud Light - 24 Pack,Beer,1,8,"Missouri- Light Lager- Introduced in 1982, Bud Light is the world's best-selling beer. It is a light-bodied brew with a fresh, clean and subtle hop aroma, delicate malt sweetness and crisp finish for ultimate refreshment.",budlight.jpg
9,Cloud Candy - 6 Pack,Beer,13,2,Massachusetts- Hazy/ New England Style IPA - 7.5% ABV. hazy deep golden orange medium bodied ipa doubled dry hopped with amarillo mosaic and citra delivering aromas of papaya mango and starfruit,Mighty-Squirrel-Cloud-Candy-IPA.jpg
10,Cloud Candy - 12 Pack,Beer,13,4,Massachusetts- Hazy/ New England Style IPA - 7.5% ABV. hazy deep golden orange medium bodied ipa doubled dry hopped with amarillo mosaic and citra delivering aromas of papaya mango and starfruit,Mighty-Squirrel-Cloud-Candy-IPA.jpg
11,Coors Light - 6 Pack,Beer,2,2,"Brisk and satisfying with a subtle sweetness and malty refreshment, Coors Banquet Lager Beer is a golden lager beer with 5% ABV. This American lager is a sessionable golden beer with an inviting aroma of freshly baked bread and understated hints of banana and pear complemented by an effervescent mouthfeel and a crisp finish. from brewing with only 100% Rocky Mountain water and ingredients like high country Moravian barley to malting in-house to ensure consistency from grain to glass. Coors Banquet is the result of conviction and tradition that can be traced back more than 140 years.",Coors-Light-Lager-Beer.jpg
12,Coors Light - 12 Pack,Beer,2,4,"Brisk and satisfying with a subtle sweetness and malty refreshment, Coors Banquet Lager Beer is a golden lager beer with 5% ABV. This American lager is a sessionable golden beer with an inviting aroma of freshly baked bread and understated hints of banana and pear complemented by an effervescent mouthfeel and a crisp finish. from brewing with only 100% Rocky Mountain water and ingredients like high country Moravian barley to malting in-house to ensure consistency from grain to glass. Coors Banquet is the result of conviction and tradition that can be traced back more than 140 years.",Coors-Light-Lager-Beer.jpg
13,Coors Light - 24 Pack,Beer,2,8,"Brisk and satisfying with a subtle sweetness and malty refreshment, Coors Banquet Lager Beer is a golden lager beer with 5% ABV. This American lager is a sessionable golden beer with an inviting aroma of freshly baked bread and understated hints of banana and pear complemented by an effervescent mouthfeel and a crisp finish. from brewing with only 100% Rocky Mountain water and ingredients like high country Moravian barley to malting in-house to ensure consistency from grain to glass. Coors Banquet is the result of conviction and tradition that can be traced back more than 140 years.",Coors-Light-Lager-Beer.jpg
14,Corona Extra - 6 Pack,Beer,4,2,Corona Light Mexican Lager Beer makes every day the lightest day with its distinctive hop flavor and pleasant fruity-honey aroma. This easy-drinking beer pairs well with spicy food and citrus dishes.,NULL
15,Corona Extra - 12 Pack,Beer,4,4,Corona Light Mexican Lager Beer makes every day the lightest day with its distinctive hop flavor and pleasant fruity-honey aroma. This easy-drinking beer pairs well with spicy food and citrus dishes.,NULL
16,Corona Extra - 24 Pack,Beer,4,8,Corona Light Mexican Lager Beer makes every day the lightest day with its distinctive hop flavor and pleasant fruity-honey aroma. This easy-drinking beer pairs well with spicy food and citrus dishes.,NULL
